ilce_adi;mahalle_adi;meshur_urunler
Ilgın;HARMANYAZI;SÜT
Ilgın;KARAKÖY;SÜT
Ilgın;MİSAFİRLİ;SÜT
Ilgın;SADIKKÖY;SÜT
Ilgın;ZAFERİYE;SÜT
Ilgın;BELEKLER;SÜT, PEYNİR
Ilgın;AVDAN;SÜT, YAĞ, YOĞURT
Ilgın;BULCUK;SÜT, YAĞ, YOĞURT, PEYNİR
Ilgın;GÖKÇEYURT;SÜT, YOĞURT
Ilgın;GÖKBUDAK;SÜT, YOĞURT
Ilgın;YUKARIÇİĞİL;SÜT, YOĞURT
Ilgın;GEDİKÖREN;SÜT, YOĞURT, CANLI HAYVAN, YUMURTA
Ilgın;ÇATAK;SÜT, YOĞURT, PEYNİR
Ilgın;DEREKÖY;SÜT, YOĞURT, PEYNİR
Ilgın;GÜNEYPINAR;SÜT, YOĞURT, PEYNİR
Ilgın;MAHMUTHİSAR;SÜT, YOĞURT, PEYNİR
Ilgın;MECİDİYE;SÜT, YOĞURT, PEYNİR
Ilgın;TEKELER;SÜT, YOĞURT, YUMURTA
Ilgın;ORMANÖZÜ;YAĞ, TARHANA, YOĞURT, PEYNİR
Ilgın;YORAZLAR;YAĞ, YOĞURT, PEYNİR, YUMURTA
Ilgın;DIĞRAK;YOĞURT
Ilgın;ORHANİYE;YUMURTA
Kadınhanı;OSMANCIK;CANLI HAYVAN
Kadınhanı;ÇEŞMECİK;CANLI HAYVAN
Kadınhanı;SAÇIKARA;CANLI HAYVAN
Kadınhanı;KARASEVİNÇ;SÜT
Kadınhanı;MEYDANLI;SÜT
Kadınhanı;PUSAT;SÜT, CANLI HAYVAN, YUMURTA
Kadınhanı;KIZILKUYU;SÜT, PEYNİR
Kadınhanı;TOSUNOĞLU;SÜT, YAĞ, BAL, CANLI HAYVAN
Kadınhanı;BEYKAVAĞI;SÜT, YAĞ, YOĞURT
Kadınhanı;ŞAHÖREN;SÜT, YAĞ, YOĞURT, PEYNİR
Kadınhanı;ÇUBUK;SÜT, YAĞ, YOĞURT, YUMURTA
Kadınhanı;ATLANTI;SÜT, YOĞURT, CANLI HAYVAN
Kadınhanı;BAŞKUYU;SÜT, YOĞURT, PEYNİR
Kadınhanı;BULGURPINAR;YAĞ, BAL, YOĞURT, YUMURTA
Kadınhanı;ALABAĞ;YAĞ, YOĞURT
Karapınar;ÇİĞİL;CANLI HAYVAN
Karapınar;YEŞİLYURT;SÜT
Karapınar;HASANOBA;SÜT, CANLI HAYVAN
Karapınar;KESMEZ;SÜT, YAĞ, YOĞURT
Karapınar;AKÇAYAZI;YOĞURT
Karatay;KIZÖREN;KAYMAK, YOĞURT, PEYNİR, YUMURTA
Karatay;ACIDORT;SÜT
Karatay;YENİKENT;SÜT
Karatay;SÜRÜÇ;SÜT, BAL
Karatay;BÜYÜKBURNAK;SÜT, CANLI HAYVAN
Karatay;KARAKAYA;SÜT, CANLI HAYVAN
Karatay;KÖSEALİ;SÜT, YAĞ, PEYNİR, TANDIR EKMEĞİ
Karatay;OVAKAVAĞI;SÜT, YAĞ, YOĞURT, PEYNİR
