,yıl,ay,kart_tipi,kart_kullanim_sayisi
359,2021,mayis,İNDİRİMLİ,485590
360,2021,mayis,KAMU,876
361,2021,mayis,MUHTAR,162
362,2021,mayis,SOSYAL KART,17973
363,2021,mayis,TAM ABONMAN,116462
364,2021,mayis,TAM KART,789882
365,2021,haziran,65 YAŞ ÜSTÜ,142745
366,2021,haziran,DİĞER,196187
367,2021,haziran,BASIN,3296
368,2021,haziran,ENGELLİ,108305
369,2021,haziran,ENGELLİ REFAKATLİ,18870
370,2021,haziran,GÖRME ENGELLİ,865
371,2021,haziran,GÖRME ENGELLİ REFAKATLİ,503
372,2021,haziran,İNDİRİMLİ,1088628
373,2021,haziran,KAMU,1507
374,2021,haziran,MUHTAR,272
375,2021,haziran,SOSYAL KART,31605
376,2021,haziran,TAM ABONMAN,197524
377,2021,haziran,TAM KART,1528365
378,2021,temmuz,65 YAŞ ÜSTÜ,220681
379,2021,temmuz,DİĞER,182715
380,2021,temmuz,BASIN,2922
381,2021,temmuz,ENGELLİ,107092
382,2021,temmuz,ENGELLİ REFAKATLİ,18486
383,2021,temmuz,GÖRME ENGELLİ,811
384,2021,temmuz,GÖRME ENGELLİ REFAKATLİ,557
385,2021,temmuz,İNDİRİMLİ,983873
386,2021,temmuz,KAMU,1293
387,2021,temmuz,MUHTAR,228
388,2021,temmuz,SOSYAL KART,31495
389,2021,temmuz,TAM ABONMAN,183360
390,2021,temmuz,TAM KART,1540886
391,2021,agustos,65 YAŞ ÜSTÜ,261438
392,2021,agustos,DİĞER,201918
393,2021,agustos,BASIN,3273
394,2021,agustos,ENGELLİ,117886
395,2021,agustos,ENGELLİ REFAKATLİ,21033
396,2021,agustos,GÖRME ENGELLİ,790
397,2021,agustos,GÖRME ENGELLİ REFAKATLİ,576
398,2021,agustos,İNDİRİMLİ,1134056
399,2021,agustos,KAMU,1715
400,2021,agustos,MUHTAR,308
401,2021,agustos,SOSYAL KART,30827
402,2021,agustos,TAM ABONMAN,205329
403,2021,agustos,TAM KART,1724569
404,2021,eylul,65 YAŞ ÜSTÜ,280026
405,2021,eylul,DİĞER,221614
406,2021,eylul,BASIN,3557
407,2021,eylul,ENGELLİ,123928
408,2021,eylul,ENGELLİ REFAKATLİ,22162
409,2021,eylul,GÖRME ENGELLİ,743
410,2021,eylul,GÖRME ENGELLİ REFAKATLİ,629
411,2021,eylul,İNDİRİMLİ,2240754
412,2021,eylul,KAMU,1841
413,2021,eylul,MUHTAR,370
414,2021,eylul,SOSYAL KART,33130
415,2021,eylul,TAM ABONMAN,219665
416,2021,eylul,TAM KART,1991808
417,2021,ekim,65 YAŞ ÜSTÜ,314173
418,2021,ekim,DİĞER,261087
419,2021,ekim,BASIN,3725
420,2021,ekim,ENGELLİ,130399
421,2021,ekim,ENGELLİ REFAKATLİ,23621
422,2021,ekim,GÖRME ENGELLİ,943
423,2021,ekim,GÖRME ENGELLİ REFAKATLİ,787
424,2021,ekim,İNDİRİMLİ,3612518
425,2021,ekim,KAMU,1821
426,2021,ekim,MUHTAR,341
427,2021,ekim,SOSYAL KART,33261
428,2021,ekim,TAM ABONMAN,242316
429,2021,ekim,TAM KART,2179047
430,2021,kasim,65 YAŞ ÜSTÜ,332757
431,2021,kasim,DİĞER,290739
432,2021,kasim,BASIN,3849
433,2021,kasim,ENGELLİ,135460
434,2021,kasim,ENGELLİ REFAKATLİ,24191
435,2021,kasim,GÖRME ENGELLİ,838
436,2021,kasim,GÖRME ENGELLİ REFAKATLİ,576
437,2021,kasim,İNDİRİMLİ,3686863
438,2021,kasim,KAMU,2097
439,2021,kasim,MUHTAR,417
440,2021,kasim,SOSYAL KART,34710
441,2021,kasim,TAM ABONMAN,255589
442,2021,kasim,TAM KART,2081269
443,2021,aralik,65 YAŞ ÜSTÜ,326201
444,2021,aralik,DİĞER,319200
445,2021,aralik,BASIN,4506
446,2021,aralik,ENGELLİ,137681
447,2021,aralik,ENGELLİ REFAKATLİ,24015
448,2021,aralik,GÖRME ENGELLİ,798
449,2021,aralik,GÖRME ENGELLİ REFAKATLİ,549
450,2021,aralik,İNDİRİMLİ,3901401
451,2021,aralik,KAMU,1999
452,2021,aralik,MUHTAR,548
453,2021,aralik,SOSYAL KART,36497
454,2021,aralik,TAM ABONMAN,283576
455,2021,aralik,TAM KART,2100838
456,2022,ocak,65 YAŞ ÜSTÜ,295466
457,2022,ocak,DİĞER,297896
458,2022,ocak,BASIN,4333
459,2022,ocak,ENGELLİ,128275
460,2022,ocak,ENGELLİ REFAKATLİ,21621
461,2022,ocak,GÖRME ENGELLİ,709
462,2022,ocak,GÖRME ENGELLİ REFAKATLİ,549
463,2022,ocak,İNDİRİMLİ,2910669
464,2022,ocak,KAMU,1414
465,2022,ocak,MUHTAR,537
466,2022,ocak,SOSYAL KART,36254
467,2022,ocak,TAM ABONMAN,281599
468,2022,ocak,TAM KART,2027705
469,2022,subat,65 YAŞ ÜSTÜ,311197
470,2022,subat,DİĞER,285023
471,2022,subat,BASIN,3996
472,2022,subat,ENGELLİ,127559
473,2022,subat,ENGELLİ REFAKATLİ,22070
474,2022,subat,GÖRME ENGELLİ,669
475,2022,subat,GÖRME ENGELLİ REFAKATLİ,424
476,2022,subat,İNDİRİMLİ,2884532
477,2022,subat,KAMU,1841
478,2022,subat,MUHTAR,469
479,2022,subat,SOSYAL KART,34254
480,2022,subat,TAM ABONMAN,282283
481,2022,subat,TAM KART,2155040
482,2022,subat,ZABITA,1
483,2022,mart,65 YAŞ ÜSTÜ,416747
484,2022,mart,DİĞER,375882
485,2022,mart,BASIN,5028
486,2022,mart,ENGELLİ,152571
487,2022,mart,ENGELLİ REFAKATLİ,26599
488,2022,mart,GÖRME ENGELLİ,825
489,2022,mart,GÖRME ENGELLİ REFAKATLİ,581
490,2022,mart,İNDİRİMLİ,4439220
491,2022,mart,KAMU,2428
492,2022,mart,MUHTAR,645
493,2022,mart,SOSYAL KART,35629
494,2022,mart,TAM ABONMAN,348903
495,2022,mart,TAM KART,2769895
496,2022,mart,ZABITA,501
497,2022,nisan,65 YAŞ ÜSTÜ,435791
498,2022,nisan,DİĞER,340846
499,2022,nisan,BASIN,4288
500,2022,nisan,ENGELLİ,147006
501,2022,nisan,ENGELLİ REFAKATLİ,26305
502,2022,nisan,GÖRME ENGELLİ,750
503,2022,nisan,GÖRME ENGELLİ REFAKATLİ,591
504,2022,nisan,İNDİRİMLİ,3726553
505,2022,nisan,KAMU,2106
506,2022,nisan,MUHTAR,536
507,2022,nisan,SOSYAL KART,37763
508,2022,nisan,TAM ABONMAN,318054
509,2022,nisan,TAM KART,2579222
510,2022,nisan,ZABITA,565
511,2022,mayis,65 YAŞ ÜSTÜ,450678
512,2022,mayis,DİĞER,315425
513,2022,mayis,BASIN,4084
514,2022,mayis,ENGELLİ,139255
515,2022,mayis,ENGELLİ REFAKATLİ,25784
516,2022,mayis,GÖRME ENGELLİ,832
517,2022,mayis,GÖRME ENGELLİ REFAKATLİ,608
518,2022,mayis,İNDİRİMLİ,3663676
519,2022,mayis,KAMU,1594
520,2022,mayis,MUHTAR,620
521,2022,mayis,SOSYAL KART,35621
522,2022,mayis,TAM ABONMAN,314656
523,2022,mayis,TAM KART,2705803
524,2022,mayis,ZABITA,533
525,2022,haziran,65 YAŞ ÜSTÜ,506401
526,2022,haziran,DİĞER,352153
527,2022,haziran,BASIN,4910
528,2022,haziran,ENGELLİ,156117
529,2022,haziran,ENGELLİ REFAKATLİ,28873
530,2022,haziran,GÖRME ENGELLİ,867
531,2022,haziran,GÖRME ENGELLİ REFAKATLİ,636
532,2022,haziran,İNDİRİMLİ,3459943
533,2022,haziran,KAMU,1957
534,2022,haziran,MUHTAR,563
535,2022,haziran,SOSYAL KART,35134
536,2022,haziran,TAM ABONMAN,366309
537,2022,haziran,TAM KART,3156089
538,2022,haziran,ZABITA,520
539,2022,temmuz,65 YAŞ ÜSTÜ,447113
540,2022,temmuz,DİĞER,258204
541,2022,temmuz,BASIN,3923
542,2022,temmuz,ENGELLİ,140691
543,2022,temmuz,ENGELLİ REFAKATLİ,24812
544,2022,temmuz,GÖRME ENGELLİ,824
545,2022,temmuz,GÖRME ENGELLİ REFAKATLİ,454
546,2022,temmuz,İNDİRİMLİ,1951986
