,ilce_adi,mahalle_adi,tibbi_ve_aromatik_bitki_yetistiriciligi
204,Cihanbeyli,İNSUYU,"IHLAMUR, ÇÖREKOTU"
205,Cihanbeyli,KANDİL,KİMYON
206,Cihanbeyli,KARABAĞ,YOK
207,Cihanbeyli,KELHASAN,ANASON
208,Cihanbeyli,KUŞCA,"ÇÖREKOTU, KİMYON"
209,Cihanbeyli,KÜTÜKUŞAĞI,YOK
210,Cihanbeyli,TAŞPINAR,YOK
211,Cihanbeyli,BEYLİOVA,YOK
212,Cihanbeyli,ÇİMEN,KİMYON
213,Cihanbeyli,ÇÖL,KİMYON
214,Cihanbeyli,DAMLAKUYU,YOK
215,Cihanbeyli,BULDUK,KİMYON
216,Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
217,Cihanbeyli,KARATEPE,"ÇÖREKOTU, KİMYON"
218,Çumra,ARIKÖREN,"ÇÖREKOTU, NANE"
219,Çumra,DEDEMOĞLU,NANE
220,Çumra,TÜRKMENCAMİLİ,YOK
221,Çumra,A.B.HÜYÜĞÜ,NANE
222,Çumra,DİNEK,YOK
223,Çumra,İÇERİÇUMRA,YOK
224,Çumra,GÜVERCİNLİK,YOK
225,Çumra,KARKIN,YOK
226,Çumra,OKÇU,YOK
227,Çumra,YENİSU,YOK
228,Çumra,APA,YOK
229,Çumra,ABDİTOLU,YOK
230,Çumra,ADAKALE,YOK
231,Çumra,ALEMDAR,YOK
232,Çumra,APASARAYCIK,YOK
233,Çumra,AFŞAR,YOK
234,Çumra,AVDUL,YOK
235,Çumra,BALÇIKHİSAR,YOK
236,Çumra,BEYLERCE,YOK
237,Çumra,B.AŞLAMA,YOK
238,Çumra,CİCEK,YOK
239,Çumra,ÇUKURKAVAK,YOK
240,Çumra,DİNLENDİK,YOK
241,Çumra,DİNEKSARAY,YOK
242,Çumra,DOĞANLI,YOK
243,Çumra,FETHİYE,YOK
244,Çumra,GÖKHÜYÜK,YOK
245,Çumra,ERENTEPE,KEKİK
246,Çumra,İNLİ,YOK
247,Çumra,KUZUCU,KEKİK
248,Çumra,KÜÇÜKKÖY,NANE
249,Çumra,SEÇME,YOK
250,Çumra,SÜRGÜÇ,YOK
251,Çumra,TAHTALI,DAĞ ÇAYI
252,Çumra,T.KARAHÜYÜK,NANE
253,Çumra,TAŞAĞIL,YOK
254,Çumra,UZUNKUYU,YOK
255,Çumra,ÜÇHÜYÜK,YOK
256,Çumra,ÜRÜNLÜ,YOK
257,Çumra,YÖRÜKCAMİLİ,LAVANTA
258,Çumra,ÇAYBAŞI,"LAVANTA, NANE, KEKİK"
259,Derbent,ÇİFTLİKÖZÜ,YOK
260,Derbent,DEĞİŞ,YOK
261,Derbent,TEKKE,YOK
262,Derbent,GÜNEYKÖY,YOK
263,Derbent,MÜLAYİM,DAĞ ÇAYI
264,Derbent,SARAYPINAR,HAŞHAŞ
265,Derbent,YASSIÖREN,YOK
266,Derbent,SÜLEYMAN,YOK
267,Derbent,KARALAR,YOK
268,Derebucak,ÇAMLIK,"DAĞ ÇAYI, KEKİK"
269,Derebucak,DURAK,YOK
270,Derebucak,GENCEK,"NANE, KEKİK, ADA ÇAYI"
271,Derebucak,GÖYNEM,YOK
272,Derebucak,PINARBAŞI,YOK
273,Derebucak,TAŞLIPINAR,YOK
274,Derebucak,TEPEARASI,YOK
275,Derebucak,UĞURLU,"NANE, KEKİK"
276,Doğanhisar,BAŞKÖY,YOK
277,Doğanhisar,YAZLICA,"KEKİK, ADA ÇAYI"
278,Doğanhisar,AYASLAR,YOK
279,Doğanhisar,ÇINAROBA,ÇÖREKOTU
280,Doğanhisar,DEŞTİĞİN,YOK
281,Doğanhisar,FIRINLI,"KATRAN, OĞUL OTU, DAĞ ÇAYI, KEKİK, KUŞBURNU"
282,Doğanhisar,GÜVENDİK,YOK
283,Doğanhisar,İLYASLAR,YOK
284,Doğanhisar,KARAAĞA,"NANE, KEKİK"
285,Doğanhisar,KEMER,YOK
286,Doğanhisar,KOÇAŞ,KİMYON
287,Doğanhisar,KONAKKALE,YOK
288,Doğanhisar,TEKKE,YOK
289,Doğanhisar,UNCULAR,YOK
290,Doğanhisar,YAZIR,YOK
291,Doğanhisar,YENİCE,YOK
292,Emirgazi,EKİZLİ,KEKİK
293,Emirgazi,AKMESCİT,"KEKİK, KİMYON"
294,Emirgazi,BESCİ,YOK
