ilce_adi,mahalle_adi,tibbi_ve_aromatik_bitki_1,tibbi_ve_aromatik_bitki_2,tibbi_ve_aromatik_bitki_3,tibbi_ve_aromatik_bitki_4,tibbi_ve_aromatik_bitki_5,tibbi_ve_aromatik_bitki_6,tibbi_ve_aromatik_bitki_7,tibbi_ve_aromatik_bitki_8
Akşehir,ALTUNTAŞ,ÇÖREKOTU,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ATAKENT,HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,BOZLAĞAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,CANKURTARAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇAMLI,ÇÖREKOTU,NANE,KEKİK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇİMENDERE,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,DEĞİRMENKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,DOĞRUGÖZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ENGİLİ,KATRAN,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,GÖLÇAYIR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,GÖZPINARI,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ILICAK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,KARABULUT,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ORTACA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ORTAKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,REİS,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,SAVAŞ,DAĞÇAYI,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,SORKUN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,SÖĞÜTLÜ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,TEKKE,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,TİPİKÖY,ANASON,HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ULUPINAR,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÜÇHÜYÜK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAŞARLAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAYLABELEN,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YAZLA,HAŞHAŞ,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YENİKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,YEŞİLKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,SARAY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,OĞUZELİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AKCAŞAR,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AYIŞIĞI,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,AKKÖY,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,BORUKKUYU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Altınekin,HACINUMAN,ASPİR,LAVANTA,ANASON,YOK,YOK,YOK,YOK,YOK
