,ilce_adi,mahalle_adi,endemik_(sadece_bu_bolgede_yetisen)_bitkiler
246,Çumra,İNLİ,YOK
247,Çumra,KUZUCU,YOK
248,Çumra,KÜÇÜKKÖY,YOK
249,Çumra,SEÇME,YOK
250,Çumra,SÜRGÜÇ,YOK
251,Çumra,TAHTALI,YOK
252,Çumra,T.KARAHÜYÜK,YOK
253,Çumra,TAŞAĞIL,YOK
254,Çumra,UZUNKUYU,YOK
255,Çumra,ÜÇHÜYÜK,YOK
256,Çumra,ÜRÜNLÜ,YOK
257,Çumra,YÖRÜKCAMİLİ,YOK
258,Çumra,ÇAYBAŞI,YOK
259,Derbent,ÇİFTLİKÖZÜ,YOK
260,Derbent,DEĞİŞ,YOK
261,Derbent,TEKKE,YOK
262,Derbent,GÜNEYKÖY,YOK
263,Derbent,MÜLAYİM,YOK
264,Derbent,SARAYPINAR,YOK
265,Derbent,YASSIÖREN,YOK
266,Derbent,SÜLEYMAN,YOK
267,Derbent,KARALAR,YOK
268,Derebucak,ÇAMLIK,YOK
269,Derebucak,DURAK,YOK
270,Derebucak,GENCEK,YOK
271,Derebucak,GÖYNEM,YOK
272,Derebucak,PINARBAŞI,YOK
273,Derebucak,TAŞLIPINAR,YOK
274,Derebucak,TEPEARASI,YOK
275,Derebucak,UĞURLU,YOK
276,Doğanhisar,BAŞKÖY,YOK
277,Doğanhisar,YAZLICA,YOK
278,Doğanhisar,AYASLAR,YOK
279,Doğanhisar,ÇINAROBA,YOK
280,Doğanhisar,DEŞTİĞİN,YOK
281,Doğanhisar,FIRINLI,YOK
282,Doğanhisar,GÜVENDİK,YOK
283,Doğanhisar,İLYASLAR,YOK
284,Doğanhisar,KARAAĞA,YOK
285,Doğanhisar,KEMER,YOK
286,Doğanhisar,KOÇAŞ,YOK
287,Doğanhisar,KONAKKALE,YOK
288,Doğanhisar,TEKKE,YOK
289,Doğanhisar,UNCULAR,YOK
290,Doğanhisar,YAZIR,YOK
291,Doğanhisar,YENİCE,YOK
292,Emirgazi,EKİZLİ,YOK
293,Emirgazi,AKMESCİT,YOK
294,Emirgazi,BESCİ,YOK
295,Emirgazi,DEMİRCİ,YOK
296,Emirgazi,GÖLÖREN,YOK
297,Emirgazi,IŞIKLAR,YOK
298,Emirgazi,KARAÖREN,YOK
299,Emirgazi,MEŞELİ,YOK
300,Emirgazi,ÖBEKTAŞ,YOK
301,Emirgazi,YAMAÇ,YOK
302,Ereğli,ZENGEN,YOK
303,Ereğli,ACIPINAR,YOK
304,Ereğli,ADABAĞ,YOK
305,Ereğli,AKHÜYÜK,YOK
306,Ereğli,ALHAN,YOK
307,Ereğli,AŞAĞI GÖNDELEN,YOK
308,Ereğli,AŞIKLAR,YOK
309,Ereğli,AZİZİYE,YOK
310,Ereğli,BAHÇELİ,YOK
311,Ereğli,BELCEAĞAÇ,YOK
312,Ereğli,BELKAYA,YOK
313,Ereğli,BEYKÖY,YOK
314,Ereğli,BEYÖREN,YOK
315,Ereğli,BULGURLUK,YOK
316,Ereğli,BURHANİYE,YOK
317,Ereğli,BÜYÜKDEDE,YOK
318,Ereğli,ÇAKMAK,YOK
319,Ereğli,ÇAYHAN,YOK
320,Ereğli,ÇİLLER,YOK
321,Ereğli,ÇİMENCİK,YOK
322,Ereğli,GAYBİ,YOK
323,Ereğli,GÖKÇEYAZI,YOK
324,Ereğli,GÖKTÖME,YOK
325,Ereğli,HACIMEMİŞ,YOK
326,Ereğli,KAMIŞLIKUYU,YOK
327,Ereğli,KARABURUN,YOK
328,Ereğli,KARGACI,YOK
329,Ereğli,KIZILGEDİK,YOK
330,Ereğli,KUSKUNCUK,YOK
331,Ereğli,KUTÖREN,YOK
332,Ereğli,KUZUKUYU,YOK
333,Ereğli,MELİCEK,YOK
334,Ereğli,ORHANİYE,YOK
335,Ereğli,ÖZGÜRLER,YOK
336,Ereğli,PINARÖZÜ,YOK
337,Ereğli,SARICA,YOK
338,Ereğli,SARITOPALLI,YOK
339,Ereğli,SELVİLİ,YOK
340,Ereğli,TAŞAĞIL,YOK
341,Ereğli,TAŞBUDAK,YOK
342,Ereğli,TATLIKUYU,YOK
343,Ereğli,TÜRKMEN,YOK
344,Ereğli,ULUMEŞE,YOK
345,Ereğli,YAZLIK,YOK
346,Ereğli,YELLİCE,YOK
347,Ereğli,YENİKÖY,YOK
